,title,project,price,time
0,كتابة محتوى ومنشورات تويتر ولينكدان,مطلوب مستقل يعمل على تصميم وكتابة محتوى لعدد 10 منشورات تتم خلال مدة شهر ونص كل إسبوع منشورين تتعلق بخدمات ونشاط وإنجازات وأخبار المنظمة ، هى أن تشمل المنشورات تصاميم وصور خاصة لكل منشور,$50.00 - $100.00,10 أيام
1,كتابة محتوى أجندة لمذكرة شخصية,"خطة تصميم وتأليف الأجندة
الغلاف والصفحات الأولى:
الغلاف:
صفحة المقدمة: شرح موجز لغرض الأجندة وكيفية استخدامها.
فهرس: قائمة بالأقسام لتسهيل التنقل.
قسم التوجيه والتعليم:
مقدمة: شرح الرابط بين الذكاء الاصطناعي والتعليم.
معلومات عامة: توضيح كيف يمكن للذكاء الاصطناعي تحسين التعليم والتعلم.
نصائح عملية: استخدام أدوات الذكاء الاصطناعي في التعليم والتطوير المهني.
تقويم الأحداث:
تقويم شهري: لتدوين المواعيد، الأحداث التعليمية والتكنولوجية.
أقسام تفاعلية:
تسجيل الأهداف: صفحات لتدوين الأهداف التعليمية والمهنية.
تخطيط الدراسة: مساحة لتخطيط الدروس والمهام الدراسية.
موارد التعليم:
أدوات ومنصات: قائمة بالموارد التعليمية القائمة على الذكاء الاصطناعي.
دراسات حالة وقصص نجاح:
قصص ملهمة: استخدامات ناجحة للذكاء الاصطناعي في التعليم.
نصائح يومية واقتباسات:
نصائح واقتباسات: مصادر إلهام وتحفيز متعلقة بالتعليم والتطوير.
ألغاز وتحديات تفاعلية:
تحديات: ألغاز وأنشطة تفكير تشجع على استخدام الذكاء الاصطناعي.
أقسام التقييم الذاتي والتخطيط:
تقييم وتخطيط: مساحة لتقييم الأداء وتخطيط الأهداف الدراسية.
خاتمة:
كلمات تحفيزية: تشجيع على الاستمرار في التعلم والتطور.
تنفيذ المشروع
التصميم الجرافيكي: يجب تصميم الأجندة بشكل جذاب وعملي، مع استخدام ألوان وخطوط تتناسب مع موضوع الذكاء الاصطناعي والتعليم.
كتابة المحتوى: تأليف النصوص لكل قسم بأسلوب واضح وملهم.
يمكن تنفيذ هذا المشروع بالتعاون مع مصممين جرافيك، كتّاب محتوى
الطول: حوالي 200 صفحة، مع تخصيص مساحة كافية لكل فصل وأقسام التخطيط.
الجمهور المستهدف: توجيه الأجندة إلى مجموعة واسعة من القراء بما في ذلك المعلمون، المسؤولون الحكوميون، والخبراء في مجال الذكاء الاصطناعي.",$100.00 - $250.00,60 يوما
2,تسويق عبر البريد الإلكتروني,"السلام عليكم ورحمة الله وبركاته
لدي منصة تم إطلاقها قريبا
واحتاج إلى مسوق محترف لاستخدام التسويق عبر البريد الإلكتروني
فضلا ممن لديه الخبرة يقدم العرض وآلية العمل المناسبة وأيضا يوضح عدد العملاء الحقيقيين الذين سيتم استقطابهم لإتمام عمليات شراء مكتملة وناجحة
والمدة الزمنية المطلوبة للوصول للأهداف المحددة
وشكرا لكم",$50.00 - $100.00,7 أيام
3,خطة تسويق بالمحتوى ومنشورات دورية عبر اللينكدان,خطة تسويق بالمحتوى ومنشورات دورية 15 منشورا، تصاميم، كاروسيل تصميم ومحتوى عبر اللينكدان باللغة الإنجليزية بهدف زيادة المبيعات عبر التسويق بالمحتوى لمنتجات هندسية,$25.00 - $50.00,7 أيام
4,مطلوب مسوق رقمي لإدارة منصات السوشيال ميديا بالإضافة إلى البكسل وللقوقل analytics,"مطلوب شخص لديه القدرة بالعمل بدوام كامل عن بعد لمدة شهر ( اذا اثبت نفسه سيكون العمل مستمر بمدة تعاقدية اطول )
- يجيد العمل على ادارة الحسابات و ادارة الحملات الاعلانية من خلال المنصات الآتية :
1- فيسبوك وانستا (ميتا)
2- تيكتوك
3-سنابشات
4- اعلانات قوقل + SEO
5- قوقل TAG manager
الالمام باستخدام منصات دعم تنبيهات تطبيق الهاتف :
1- one signal
2- Apps Flyer
3-google fire
كتابة وتصميم محتوى الاعلان
القدرة على عمل خطة اعلانية لزيادة المتابعين عن طريق التسويق بالمحتوى
نبذة عنا: نحن شركة ناشئة ادارة حجوزات لبيوت العطلات والاستراحات من خلال تطبيق الهاتف والموقع الالكتروني. (مثل جاذرن أو airbnb )
يرجى مشاركة الاعمال السابقة ونتائج الحملات الاعلانية لديكم",$100.00 - $250.00,30 يوما
5,مطلوب خبير في استراتيجيات بناء براند شخصي لتطوير براند شخصي لمؤثر عربي Personal Branding,"هام جدا- المشروع لا يتعلق ابدأ بالتصميم أو اللوجو أو ما إلى ذلك!!!
أبحث عن مستقل ذي مهارات وخبرة استثنائية، لمساعدتي في بناء وتعزيز العلامة التجارية الشخصية لأحد المؤثرين من خلال النشرة البريدية ومنصة لينكدان
يجب أن يتمتع المرشح المثالي بسجل حافل من النجاح في إعداد استراتيجات وتنفيذ بناء العلامات التجارية الشخصية للأفراد، وإظهار الخبرة في مختلف جوانب العلامات التجارية الشخصية.
متطلبات:
الاهتمام بريادة الأعمال، التطوير الشخصي وغيرها من الخبرات التي يمكن إضافتها للمؤثر
إذا كنت قد عملت مسبقا مع أحد المؤثرين أو ساهمت في بناء علامة تجارية شخصية ناجحة قدم على هذا المشروع مع إرفاق ما يثبت خبرتك لنجاح هذا المشروع
شكرا لك على اهتمامك.",$250.00 - $500.00,30 يوما
6,بناء قناة على تليقرام للتسويق بالعمولة,احتاج الى شخص متمرس ومحترف يضع خطة عمل لجميع المواقع الإلكترونية وذلك بهدف بناء قناه على تلقيرام ومحتوى متمز يشد المتابعين ويحفزهم على شراء المنتجات المقترحة .. من لديه الخبرة والمعرفة ارجو الى مشاركة جزء من اعمال ونجاحات لنفس فكرة المشروع سيكون لهذه القناه حسابات على وسائل التواصل للتسويق للمنتجات من خلالها واشتراك المتابعين على قناة التلقيرام,$25.00 - $50.00,15 يوما
7,إضافة SEO لمنتجات وأقسام في منصة سلة,"اضافة SEO لمنتجات لمنصة سله والقسام وكون له خبره في SEO
المعلومات المتوفرة
https://salla.sa/trendbea...
المطلوب استلامه
الكلامات المفتاحيه لمتجر مستحضرات تجميل وعطور",$25.00 - $50.00,2 يومين
8,مختص اعلانات TikTok للعمل بشكل يومي,"سلام عليكم
مطلوب شخص عنده خبرة باعلانات TikTok للعمل بشكل يومي مع القدرة على ادارة عدد كبير من الاعلانات و الحسابات بشكل يومي و تكون له خبرة بعمل اعلانات TikTok و ادارة الحسابات
المشروع لمدة طويلة",$50.00 - $100.00,7 أيام
9,مسوق إلكتروني فيسبوك ادز,"انا شركة استشارية نساعد مدربين الحياة احتاج احد يطلق حملة إعلانية على فيسبوك ادز ويكون لديه خبرة لاتقل ٢ سنة مع العمل مدربين الحياة
قنوات الإعلان
فيسبوك
المطلوب استلامه
تنفيذ اعلان ممول",$100.00 - $250.00,30 يوما
10,إنشاء حملة ترويجية وتنفيذها على تويتر,"نريد تنفيذ حملة إعلانية في منصة اكس تويتر مدة الحملة لاتتجاوز الأسبوع وحملة أخرى أيضا لاتتجاوز الأسبوع
الفئة المستهدفة وجميع التفاصيل سوف يتم افادتك بها.",$50.00 - $100.00,1 يوم
11,تسويق لمكتب هندسي عن طريق المواقع وجميع المجالات للإعلان,لدينا شركة وبحاجة لعمل حملة إعلانية وتسويق شامل الكتروني وغيرة داخل السعودية,$100.00 - $250.00,10 أيام
12,مسوق لمعرض سيارات,محتاج مسوق الكتروني لمعرض سيارات ع سناب شات وتيك توك,$100.00 - $250.00,3 أيام
13,تسويق لشركة مقاولات من خلال منصات التواصل الاجتماعي,"تنفيذ حملة اعلانية لحسابات السوشيال ميديا لشركة مقاولات بالرياض - المملكة العربية السعودية
وتستهدف الحملة نشر نطاق عمل الشركة من خلال الشرائح المستهدفة
ادارة مواقع التواصل الاجتماعي خلال فترة الحملة وكتابة المحتوى
تحسين محركات البحث لنشر معلومات الشركة
اعداد محتوى جذاب لتسهيل جذب العملاء المستهدفين
قنوات الإعلان
تويتر - انستجرام - لينكد إن
المعلومات المتوفرة
- روابط حسابات السوشيال ميديا
- صور من المشاريع
المطلوب استلامه
تنفيذ حملة اعلانية لحسابات السوشيال ميديا لشركة مقاولات بالرياض - المملكة العربية السعودية
وتستهدف الحملة نشر نطاق عمل الشركة من خلال الشرائح المستهدفة
ادارة مواقع التواصل الاجتماعي خلال فترة الحملة وكتابة المحتوى
تحسين محركات البحث لنشر معلومات الشركة
اعداد محتوى جذاب لتسهيل جذب العملاء المستهدفين",$250.00 - $500.00,30 يوما
14,إدارة حسابات على وسائل التواصل الإجتماعي,"السلام عليكم
أحتاج إلى خطة وإدارة منصات التواصل الإجتماعي
منصات التواصل الاجتماعي
جميعها
المطلوب استلامه
منشورين يوميا",$100.00 - $250.00,30 يوما
15,تسويق وإدارة منصات التواصل,"السلام عليكم
أحتاج إلى خطة وإدارة منصات التواصل الاجتماعي
جميعها
المطلوب استلامه
منشورين يوميا
عمل خطه للمحتوى
إدارة الحملات الإعلانية
إعلانات عن طريق داتا ارقام عن طريق الواتساب
إعلانات بالبريد الإلكتروني
أفكار تسويقية جديدة
منصات التواصل الاجتماعي
جميعها
المطلوب استلامه
٣ منشورات يوميا",$100.00 - $250.00,30 يوما
16,إدارة التواصل الاجتماعي وبناء هوية لمتجر قائم,"السلام عليكم
أحتاج إلى خطة وإدارة منصات التواصل الاجتماعي
واللحاق على المواسم القادمة
المطلوب استلامه
منشوران يوميا
عمل خطه للمحتوى
إدارة الحملات الإعلانية
إعلانات بالبريد الإلكتروني
أفكار تسويقية جديدة
تجميع معلومات لدي لبناء براندق والعمل على السوشل ميديا
منصات التواصل الاجتماعي
جميعها
المعلومات المتوفرة
لدي خطط تسويقيه ومعلومات احتاج ترتيب المعلومات لبناء براندق
المطلوب استلامه
منشورين يوميا",$100.00 - $250.00,30 يوما
17,إدارة حسابات سوشيال ميديا,"مطلوب شخص متمكن من ادارة حساب تجاري - سوشال ميديا انستقرام وفيس بوك
لديه الخبرة في ادارة الحسابات والتصميم والنشر",$100.00 - $250.00,30 يوما
18,اختصاصي إعلانات غوغل وفيس بوك,"مطلوب اختصاصي إعلانات سوشيال ميديا لإدارة الحملات الممولة في السعودية
العمل يكون عن بعد واتفاق شهري",$50.00 - $100.00,30 يوما
19,مسئول المبيعات لتسويق منتج,"بدي شخص بعرف يقنع العميل حتى يشتري المنتج
ويكون مع الشخص لغة إنجليزية
المتجر بستهدف الولايات المتحدة
منصات التواصل الاجتماعي
واتساب ماسنجر
المطلوب استلامه
الرد على التعليقات الرد على الخاص",$100.00 - $250.00,30 يوما
